,Business Date,% Adequate Capacity,% Chain Adequate Capacity Avg
135,04/14/22,0.00%,0.00%
136,04/15/22,0.00%,0.00%
137,04/16/22,0.00%,0.00%
138,04/17/22,0.00%,0.00%
139,04/18/22,0.00%,0.00%
140,04/19/22,0.00%,0.00%
141,04/20/22,0.00%,0.00%
142,04/21/22,0.00%,0.00%
143,04/22/22,0.00%,0.00%
144,04/23/22,0.00%,0.00%
145,04/24/22,0.00%,0.00%
146,04/25/22,0.00%,0.00%
147,04/26/22,0.00%,0.00%
148,04/27/22,0.00%,0.00%
149,04/28/22,0.00%,0.00%
150,04/29/22,0.00%,0.00%
151,04/30/22,0.00%,0.00%
152,05/01/22,0.00%,0.00%
153,05/02/22,0.00%,0.00%
154,05/03/22,0.00%,0.00%
155,05/04/22,0.00%,0.00%
156,05/05/22,0.00%,0.00%
157,05/06/22,0.00%,0.00%
158,05/07/22,0.00%,0.00%
159,05/08/22,0.00%,0.00%
160,05/09/22,0.00%,0.00%
161,05/10/22,0.00%,0.00%
162,05/11/22,0.00%,0.00%
163,05/12/22,0.00%,0.00%
164,05/13/22,0.00%,0.00%
165,05/14/22,0.00%,0.00%
166,05/15/22,0.00%,0.00%
167,05/16/22,0.00%,0.00%
168,05/17/22,0.00%,0.00%
169,05/18/22,0.00%,0.00%
170,05/19/22,0.00%,0.00%
171,05/20/22,0.00%,0.00%
172,05/21/22,0.00%,0.00%
173,05/22/22,0.00%,0.00%
174,05/23/22,0.00%,0.00%
175,05/24/22,0.00%,0.00%
176,05/25/22,0.00%,0.00%
177,05/26/22,0.00%,0.00%
178,05/27/22,0.00%,0.00%
179,05/28/22,0.00%,0.00%
180,05/29/22,0.00%,0.00%
181,05/30/22,0.00%,0.00%
182,05/31/22,0.00%,0.00%
183,06/01/22,0.00%,0.00%
184,06/02/22,0.00%,0.00%
185,06/03/22,0.00%,0.00%
186,06/04/22,0.00%,0.00%
187,06/05/22,0.00%,0.00%
188,06/06/22,0.00%,0.00%
189,06/07/22,0.00%,0.00%
190,06/08/22,0.00%,0.00%
191,06/09/22,0.00%,0.00%
192,06/10/22,0.00%,0.00%
193,06/11/22,0.00%,0.00%
194,06/12/22,0.00%,0.00%
195,06/13/22,0.00%,0.00%
196,06/14/22,0.00%,0.00%
197,06/15/22,0.00%,0.00%
198,06/16/22,0.00%,0.00%
199,06/17/22,0.00%,0.00%
200,06/18/22,0.00%,0.00%
201,06/19/22,0.00%,0.00%
202,06/20/22,0.00%,0.00%
203,06/21/22,0.00%,0.00%
204,06/22/22,0.00%,0.00%
205,06/23/22,0.00%,0.00%
206,06/24/22,0.00%,0.00%
207,06/25/22,0.00%,0.00%
208,06/26/22,0.00%,0.00%
209,06/27/22,0.00%,0.00%
210,06/28/22,0.00%,0.00%
211,06/29/22,0.00%,0.00%
212,06/30/22,0.00%,0.00%
213,07/01/22,0.00%,0.00%
214,07/02/22,0.00%,0.00%
215,07/03/22,0.00%,0.00%
216,07/04/22,0.00%,0.00%
217,07/05/22,0.00%,0.00%
218,07/06/22,0.00%,0.00%
219,07/07/22,0.00%,0.00%
220,07/08/22,0.00%,0.00%
221,07/09/22,0.00%,0.00%
222,07/10/22,0.00%,0.00%
223,07/11/22,0.00%,0.00%
224,07/12/22,0.00%,0.00%
225,07/13/22,0.00%,0.00%
226,07/14/22,0.00%,0.00%
227,07/15/22,0.00%,0.00%
228,07/16/22,0.00%,0.00%
229,07/17/22,0.00%,0.00%
230,07/18/22,0.00%,0.00%
231,07/19/22,0.00%,0.00%
232,07/20/22,0.00%,0.00%
233,07/21/22,0.00%,0.00%
234,07/22/22,0.00%,0.00%
235,07/23/22,0.00%,0.00%
236,07/24/22,0.00%,0.00%
237,07/25/22,0.00%,0.00%
238,07/26/22,0.00%,0.00%
239,07/27/22,0.00%,0.00%
240,07/28/22,0.00%,0.00%
241,07/29/22,0.00%,0.00%
242,07/30/22,0.00%,0.00%
243,07/31/22,0.00%,0.00%
244,08/01/22,0.00%,0.00%
245,08/02/22,0.00%,0.00%
246,08/03/22,0.00%,0.00%
247,08/04/22,0.00%,0.00%
248,08/05/22,0.00%,0.00%
249,08/06/22,0.00%,0.00%
250,08/07/22,0.00%,0.00%
251,08/08/22,0.00%,0.00%
252,08/09/22,0.00%,0.00%
253,08/10/22,0.00%,0.00%
254,08/11/22,0.00%,0.00%
255,08/12/22,0.00%,0.00%
256,08/13/22,0.00%,0.00%
257,08/14/22,0.00%,0.00%
258,08/15/22,0.00%,0.00%
259,08/16/22,0.00%,0.00%
260,08/17/22,0.00%,0.00%
261,08/18/22,0.00%,0.00%
262,08/19/22,0.00%,0.00%
263,08/20/22,0.00%,0.00%
264,08/21/22,0.00%,0.00%
265,08/22/22,0.00%,0.00%
266,08/23/22,0.00%,0.00%
267,08/24/22,0.00%,0.00%
268,08/25/22,0.00%,0.00%
269,08/26/22,0.00%,0.00%
270,08/27/22,0.00%,0.00%
271,08/28/22,0.00%,0.00%
272,08/29/22,0.00%,0.00%
273,08/30/22,0.00%,0.00%
274,08/31/22,0.00%,0.00%
275,09/01/22,0.00%,0.00%
276,09/02/22,0.00%,0.00%
277,09/03/22,0.00%,0.00%
278,09/04/22,0.00%,0.00%
279,09/05/22,0.00%,0.00%
280,09/06/22,0.00%,0.00%
281,09/07/22,0.00%,0.00%
282,09/08/22,0.00%,0.00%
283,09/09/22,0.00%,0.00%
284,09/10/22,0.00%,0.00%
285,09/11/22,0.00%,0.00%
286,09/12/22,0.00%,0.00%
287,09/13/22,0.00%,0.00%
288,09/14/22,0.00%,0.00%
289,09/15/22,0.00%,0.00%
290,09/16/22,0.00%,0.00%
291,09/17/22,0.00%,0.00%
292,09/18/22,0.00%,0.00%
293,09/19/22,0.00%,0.00%
294,09/20/22,50.00%,44.44%
295,09/21/22,0.00%,0.00%
296,09/22/22,0.00%,0.00%
297,09/23/22,0.00%,0.00%
298,09/24/22,0.00%,0.00%
299,09/25/22,0.00%,0.00%
300,09/26/22,0.00%,0.00%
301,09/27/22,0.00%,0.00%
302,09/28/22,37.50%,33.33%
303,09/29/22,0.00%,0.00%
304,09/30/22,0.00%,0.00%
305,10/01/22,0.00%,0.00%
306,10/02/22,0.00%,0.00%
307,10/03/22,0.00%,0.00%
308,10/04/22,37.50%,33.33%
309,10/05/22,0.00%,0.00%
310,10/06/22,0.00%,0.00%
311,10/07/22,0.00%,0.00%
312,10/08/22,0.00%,0.00%
313,10/09/22,0.00%,0.00%
314,10/10/22,0.00%,0.00%
315,10/11/22,12.50%,11.11%
316,10/12/22,0.00%,0.00%
317,10/13/22,0.00%,0.00%
318,10/14/22,0.00%,0.00%
319,10/15/22,0.00%,0.00%
320,10/16/22,0.00%,0.00%
321,10/17/22,12.50%,11.11%
322,10/18/22,0.00%,0.00%
323,10/19/22,0.00%,0.00%
324,10/20/22,25.00%,11.76%
325,10/21/22,0.00%,0.00%
326,10/22/22,0.00%,0.00%
327,10/23/22,0.00%,0.00%
328,10/24/22,0.00%,0.00%
329,10/25/22,12.50%,5.88%
330,10/26/22,0.00%,0.00%
331,10/27/22,0.00%,0.00%
332,10/28/22,0.00%,0.00%
333,10/29/22,0.00%,0.00%
334,10/30/22,0.00%,0.00%
335,10/31/22,0.00%,0.00%
336,11/01/22,0.00%,0.00%
337,11/02/22,0.00%,0.00%
338,11/03/22,0.00%,0.00%
339,11/04/22,0.00%,0.00%
340,11/05/22,0.00%,0.00%
341,11/06/22,0.00%,0.00%
342,11/07/22,0.00%,0.00%
343,11/08/22,0.00%,0.00%
344,11/09/22,0.00%,0.00%
345,11/10/22,12.50%,5.88%
346,11/11/22,0.00%,0.00%
347,11/12/22,0.00%,0.00%
348,11/13/22,0.00%,0.00%
349,11/14/22,0.00%,0.00%
350,11/15/22,12.50%,5.88%
351,11/16/22,0.00%,0.00%
352,11/17/22,0.00%,0.00%
353,11/18/22,0.00%,0.00%
354,11/19/22,0.00%,0.00%
355,11/20/22,0.00%,0.00%
356,11/21/22,0.00%,0.00%
357,11/22/22,0.00%,0.00%
358,11/23/22,0.00%,0.00%
359,11/24/22,0.00%,0.00%
360,11/25/22,0.00%,0.00%
361,11/26/22,0.00%,0.00%
362,11/27/22,0.00%,0.00%
363,11/28/22,0.00%,0.00%
364,11/29/22,0.00%,0.00%
365,11/30/22,0.00%,0.00%
